340.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
341.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
342.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
343.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
344.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
345.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
346.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
347.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
348.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
349.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|-1|1743139712.4576056|1743346751.4662466
350.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|-1|1743139096.3108296|1743346751.4662466
351.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743143851|1743164545.9524965|1743346751.4662466
352.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743143851|1743144183.2961917|1743346751.4662466
353.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743143851|1743144203.0072083|1743346751.4662466
354.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743143851|1743145560.6131964|1743346751.4662466
355.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743143851|1743147632.2941954|1743346751.4662466
356.anode0.kaist.ac.kr|kimjuneho4|1:ppn=4:aa|-1|1743143846.7002034|1743346751.4662466
357.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143851|1743145626.2096872|1743346751.4662466
358.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143852|1743147011.929214|1743346751.4662466
359.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143852|1743147298.3381994|1743346751.4662466
360.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143852|1743145925.2885494|1743346751.4662466
361.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143852|1743145908.3952167|1743346751.4662466
362.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143852|1743145835.1132102|1743346751.4662466
363.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143852|1743145959.6073341|1743346751.4662466
364.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143852|1743145747.7282095|1743346751.4662466
365.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143852|1743145811.6352134|1743346751.4662466
366.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143852|1743145815.2008061|1743346751.4662466
367.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743145783.027195|1743346751.4662466
368.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743145695.8682032|1743346751.4662466
369.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743145791.6916523|1743346751.4662466
370.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743146098.4402199|1743346751.4662466
371.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743146143.5292132|1743346751.4662466
372.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743146130.7873435|1743346751.4662466
373.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743146164.5712008|1743346751.4662466
374.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743146104.0336716|1743346751.4662466
375.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743146114.9522192|1743346751.4662466
376.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743145303.4202003|1743346751.4662466
377.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143853|1743145256.227201|1743346751.4662466
378.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743143854|1743145288.606196|1743346751.4662466
379.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743144196|1743157881.7792647|1743346751.4662466
380.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743144205|1743157899.11141|1743346751.4662466
381.anode0.kaist.ac.kr|hykum|1:ppn=16:aa|1743145090|1743145370.7153788|1743346751.4662466
382.anode0.kaist.ac.kr|hykum|1:ppn=16:aa|1743145234|1743146042.0892184|1743346751.4662466
383.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743145260|1743146965.0134618|1743346751.4662466
